exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,AA,2/8/2010,13.18,13.53,12.93,13.06,39374000,13.06
NYSE,AA,2/5/2010,12.91,13.19,12.61,13.18,43984100,13.18
NYSE,AA,2/4/2010,13.29,13.29,12.9,12.91,44587200,12.91
NYSE,AA,2/3/2010,13.6,13.89,13.43,13.49,36035900,13.49
NYSE,AA,2/2/2010,13.76,13.9,13.52,13.67,50545100,13.64
NYSE,AA,2/1/2010,12.99,13.39,12.91,13.36,40076300,13.33
NYSE,AA,1/29/2010,13.13,13.3,12.61,12.73,42948800,12.7
NYSE,AA,1/28/2010,13.42,13.47,12.26,12.92,53726500,12.89
NYSE,AA,1/27/2010,13.7,13.7,12.96,13.3,55373900,13.27
NYSE,AA,1/26/2010,13.45,13.95,13.3,13.54,43895300,13.51
NYSE,AA,1/25/2010,13.76,13.85,13.31,13.39,44190400,13.36
NYSE,AA,1/22/2010,14.18,14.18,13.33,13.4,84478500,13.37
NYSE,AA,1/21/2010,15.19,15.3,14.22,14.25,69930600,14.22
NYSE,AA,1/20/2010,15.42,15.47,15.15,15.23,35671500,15.2
NYSE,AA,1/19/2010,15.58,15.82,15.46,15.62,34422600,15.59
NYSE,AA,1/15/2010,15.76,15.85,15.46,15.63,33414100,15.6
NYSE,AA,1/14/2010,15.99,16.1,15.79,15.81,32361300,15.78
NYSE,AA,1/13/2010,15.77,15.99,15.41,15.98,58694400,15.94
NYSE,AA,1/12/2010,16.12,16.25,15.42,15.52,155898600,15.49
NYSE,AA,1/11/2010,17.49,17.6,17.13,17.45,76441900,17.41
NYSE,ABB,2/8/2010,17.62,17.66,17.3,17.3,2018000,17.3
NYSE,ABB,2/5/2010,17.77,17.83,17.08,17.57,5869800,17.57
NYSE,ABB,2/4/2010,18.39,18.43,17.9,17.93,4635900,17.93
NYSE,ABB,2/3/2010,18.82,18.91,18.61,18.66,2977500,18.66
NYSE,ABB,2/2/2010,18.74,19.01,18.66,18.95,2635200,18.95
NYSE,ABB,2/1/2010,18.33,18.48,18.23,18.48,3192100,18.48
NYSE,ABB,1/29/2010,18.33,18.51,17.98,18.03,3879500,18.03
NYSE,ABB,1/28/2010,18.61,18.63,18.1,18.19,6987600,18.19
NYSE,ABB,1/27/2010,18.84,18.94,18.55,18.88,5276600,18.88
NYSE,ABB,1/26/2010,18.42,18.76,18.31,18.51,5595100,18.51
NYSE,ABB,1/25/2010,18.68,18.74,18.34,18.47,5457800,18.47
NYSE,ABB,1/22/2010,18.4,18.54,17.94,17.99,5739800,17.99
NYSE,ABB,1/21/2010,18.9,18.97,18.29,18.66,8110800,18.66
NYSE,ABB,1/20/2010,19.18,19.19,18.86,19.08,4321100,19.08
NYSE,ABB,1/19/2010,19.46,19.85,19.43,19.83,4019400,19.83
NYSE,ABB,1/15/2010,20.22,20.24,19.93,20.04,3371400,20.04
NYSE,ABB,1/14/2010,20.23,20.32,20.19,20.24,2901800,20.24
NYSE,ABB,1/13/2010,20.1,20.2,19.97,20.16,2793600,20.16
NYSE,ABB,1/12/2010,20.13,20.28,19.93,20.08,3297800,20.08
NYSE,ABB,1/11/2010,20.67,20.71,20.45,20.48,6104500,20.48
NYSE,AAV,12/9/2009,5.69,5.98,5.69,5.87,784000,5.87
NYSE,AAV,12/8/2009,5.61,5.78,5.53,5.73,945200,5.73
NYSE,AAV,12/7/2009,5.63,5.71,5.53,5.59,491000,5.59
NYSE,AAV,12/4/2009,5.82,5.85,5.57,5.61,573500,5.61
NYSE,AAV,12/3/2009,5.88,5.92,5.65,5.67,546900,5.67
NYSE,AAV,12/2/2009,5.97,6.06,5.86,5.86,646400,5.86
NYSE,AAV,12/1/2009,5.85,6.05,5.85,5.98,853800,5.98
NYSE,AAV,11/30/2009,5.61,5.83,5.61,5.79,548200,5.79
NYSE,AAV,11/27/2009,5.56,5.79,5.47,5.69,385000,5.69
NYSE,AAV,11/25/2009,5.68,5.91,5.6,5.86,1189100,5.86
NYSE,AAV,11/24/2009,5.89,5.89,5.4,5.59,1196800,5.59
NYSE,AAV,11/23/2009,5.78,5.94,5.78,5.84,829000,5.84
NYSE,AAV,11/20/2009,5.56,5.73,5.51,5.68,840900,5.68
NYSE,AAV,11/19/2009,5.88,5.94,5.6,5.74,946600,5.74
NYSE,AAV,11/18/2009,6.14,6.18,5.91,5.93,686400,5.93
NYSE,AAV,11/17/2009,6.27,6.27,6.02,6.16,725900,6.16
NYSE,AAV,11/16/2009,6.26,6.38,6.16,6.3,911900,6.3
NYSE,AAV,11/13/2009,6.02,6.26,6.02,6.11,839900,6.11
NYSE,AAV,11/12/2009,6.34,6.36,6,6.03,1069500,6.03
NYSE,AAV,11/11/2009,6.7,6.7,6.31,6.36,947400,6.36
NYSE,AB,2/8/2010,25.7,25.7,25.05,25.12,277300,25.12
NYSE,AB,2/5/2010,25.81,25.81,25,25.73,659500,25.73
NYSE,AB,2/4/2010,27,27.04,25.75,25.85,404600,25.85
NYSE,AB,2/3/2010,27.11,27.4,26.82,27.12,237500,27.12
NYSE,AB,2/2/2010,26.44,27.18,26.44,27.15,327700,27.15
NYSE,AB,2/1/2010,25.86,26.74,25.86,26.5,509600,26.5
NYSE,AB,1/29/2010,27.01,27.2,25.71,25.74,787500,25.74
NYSE,AB,1/28/2010,27.41,27.41,26.06,27.01,569200,27.01
NYSE,AB,1/27/2010,27.24,27.37,26.25,27.21,685300,27.21
NYSE,AB,1/26/2010,27.75,27.91,26.84,27,443000,27
NYSE,AB,1/25/2010,27.94,28.64,27.17,27.73,537200,27.73
