"year","_c1"
"NULL","NULL"
"1871","66"
"1872","94"
"1873","125"
"1874","91"
"1875","115"
"1876","126"
"1877","68"
"1878","60"
"1879","85"
"1880","91"
"1881","86"
"1882","99"
"1883","110"
"1884","160"
"1885","130"
"1886","155"
"1887","167"
"1888","134"
"1889","152"
"1890","161"
"1891","177"
"1892","136"
"1893","149"
"1894","192"
"1895","166"
"1896","160"
"1897","152"
"1898","143"
"1899","140"
"1900","132"
"1901","145"
"1902","109"
"1903","137"
"1904","99"
"1905","124"
"1906","103"
"1907","104"
"1908","105"
"1909","126"
"1910","110"
"1911","147"
"1912","137"
"1913","125"
"1914","122"
"1915","144"
"1916","113"
"1917","112"
"1918","86"
"1919","103"
"1920","158"
"1921","177"
"1922","141"
"1923","151"
"1924","143"
"1925","144"
"1926","139"
"1927","158"
"1928","163"
"1929","156"
"1930","158"
"1931","163"
"1932","152"
"1933","138"
"1934","134"
"1935","133"
"1936","167"
"1937","151"
"1938","144"
"1939","139"
"1940","134"
"1941","135"
"1942","141"
"1943","112"
"1944","125"
"1945","128"
"1946","142"
"1947","137"
"1948","138"
"1949","150"
"1950","131"
"1951","124"
"1952","105"
"1953","132"
"1954","129"
"1955","126"
"1956","132"
"1957","121"
"1958","127"
"1959","131"
"1960","119"
"1961","132"
"1962","134"
"1963","121"
"1964","125"
"1965","126"
"1966","122"
"1967","113"
"1968","98"
"1969","123"
"1970","137"
"1971","126"
"1972","122"
"1973","131"
"1974","110"
"1975","112"
"1976","130"
"1977","128"
"1978","126"
"1979","120"
"1980","133"
"1981","89"
"1982","136"
"1983","133"
"1984","121"
"1985","146"
"1986","130"
"1987","123"
"1988","128"
"1989","113"
"1990","119"
"1991","133"
"1992","114"
"1993","143"
"1994","106"
"1995","123"
"1996","142"
"1997","146"
"1998","134"
"1999","143"
"2000","152"
"2001","146"
"2002","128"
"2003","137"
"2004","133"
"2005","129"
"2006","134"
"2007","143"
"2008","125"
"2009","124"
"2010","115"
"2011","136"
