"year","player_id","runs"
"1871","barnero01","66"
"1872","eggleda01","94"
"1873","barnero01","125"
"1874","mcveyca01","91"
"1875","barnero01","115"
"1876","barnero01","126"
"1877","orourji01","68"
"1878","highadi01","60"
"1879","jonesch01","85"
"1880","dalryab01","91"
"1881","gorege01","86"
"1882","gorege01","99"
"1883","stoveha01","110"
"1884","dunlafr01","160"
"1885","stoveha01","130"
"1886","kellyki01","155"
"1887","oneilti01","167"
"1888","pinknge01","134"
"1889","griffmi01","152"
"1889","stoveha01","152"
"1890","duffyhu01","161"
"1891","brownto01","177"
"1892","childcu01","136"
"1893","longhe01","149"
"1894","hamilbi01","192"
"1895","hamilbi01","166"
"1896","burkeje01","160"
"1897","hamilbi01","152"
"1898","mcgrajo01","143"
"1899","mcgrajo01","140"
"1899","keelewi01","140"
"1900","thomaro01","132"
"1901","lajoina01","145"
"1902","hartsto01","109"
"1902","fultzda01","109"
"1903","beaumgi01","137"
"1904","brownge01","99"
"1905","donlimi01","124"
"1906","chancfr01","103"
"1906","wagneho01","103"
"1907","shannsp01","104"
"1908","mcintma01","105"
"1909","leachto01","126"
"1910","mageesh01","110"
"1911","cobbty01","147"
"1912","collied01","137"
"1913","collied01","125"
"1914","collied01","122"
"1915","cobbty01","144"
"1916","cobbty01","113"
"1917","bushdo01","112"
"1918","grohhe01","86"
"1919","ruthba01","103"
"1920","ruthba01","158"
"1921","ruthba01","177"
"1922","hornsro01","141"
"1923","ruthba01","151"
"1924","ruthba01","143"
"1925","cuyleki01","144"
"1926","ruthba01","139"
"1927","ruthba01","158"
"1928","ruthba01","163"
"1929","hornsro01","156"
"1930","kleinch01","158"
"1931","gehrilo01","163"
"1932","kleinch01","152"
"1933","gehrilo01","138"
"1934","gehrich01","134"
"1935","galanau01","133"
"1936","gehrilo01","167"
"1937","dimagjo01","151"
"1938","greenha01","144"
"1939","rolfere01","139"
"1940","willite01","134"
"1941","willite01","135"
"1942","willite01","141"
"1943","vaughar01","112"
"1944","stirnsn01","125"
"1945","stanked01","128"
"1946","willite01","142"
"1947","mizejo01","137"
"1948","henrito01","138"
"1949","willite01","150"
"1950","dimagdo01","131"
"1951","kinerra01","124"
"1951","musiast01","124"
"1952","musiast01","105"
"1952","hemusso01","105"
"1953","snidedu01","132"
"1954","mantlmi01","129"
"1955","snidedu01","126"
"1956","mantlmi01","132"
"1957","mantlmi01","121"
"1958","mantlmi01","127"
"1959","pinsova01","131"
"1960","mantlmi01","119"
"1961","marisro01","132"
"1961","mantlmi01","132"
"1962","robinfr02","134"
"1963","aaronha01","121"
"1964","allendi01","125"
"1965","versazo01","126"
"1965","harpeto01","126"
"1966","robinfr02","122"
"1966","aloufe01","122"
"1967","aaronha01","113"
"1967","brocklo01","113"
"1968","beckegl01","98"
"1969","jacksre01","123"
"1970","willibi01","137"
"1971","brocklo01","126"
"1972","morgajo02","122"
"1973","bondsbo01","131"
"1974","rosepe01","110"
"1975","rosepe01","112"
"1976","rosepe01","130"
"1977","carewro01","128"
"1978","lefloro01","126"
"1979","baylodo01","120"
"1980","wilsowi02","133"
"1981","henderi01","89"
"1982","molitpa01","136"
"1983","raineti01","133"
"1984","evansdw01","121"
"1985","henderi01","146"
"1986","henderi01","130"
"1987","raineti01","123"
"1988","boggswa01","128"
"1989","boggswa01","113"
"1990","henderi01","119"
"1991","molitpa01","133"
"1992","phillto02","114"
"1993","dykstle01","143"
"1994","thomafr04","106"
"1995","biggicr01","123"
"1996","burksel01","142"
"1997","biggicr01","146"
"1998","sosasa01","134"
"1999","bagweje01","143"
"2000","bagweje01","152"
"2001","sosasa01","146"
"2002","soriaal01","128"
"2003","pujolal01","137"
"2004","pujolal01","133"
"2005","pujolal01","129"
"2006","sizemgr01","134"
"2007","rodrial01","143"
"2008","ramirha01","125"
"2009","pujolal01","124"
"2010","pujolal01","115"
"2011","grandcu01","136"
